,UT,MJD,name,target,mag_I_c,dimm_fwhm,el,dimm_mod,fps,loopgain,gains,n_modes,selfRM_SKY,selfRM_LAB,OG,OG_StandErr
27,2023-03-17 04:34:56,60020.191,HD95086 J60020.191,HD95086,7.076375,1.25,49.9556,1.46732799648653,1800.0,0.34,"[0.5, 0.5, 0.35, 0.25, 0.2, 0.2, 0.15, 0.15, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",411,selfRM_20230317_0432_HD95086.fits,selfRM_20230315_LAB_spark_1800_020amps_20seps_1Hz.fits,0.2826131582260132,0.0032622153200072296
28,2023-03-17 04:42:36,60020.196,HD95086 J60020.196,HD95086,7.076375,1.42,49.8076,1.6690628923628386,1800.0,0.34,"[0.5, 0.5, 0.35, 0.25, 0.2, 0.2, 0.15, 0.15, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",411,selfRM_20230317_0440_HD95086.fits,selfRM_20230315_LAB_spark_1800_020amps_20seps_1Hz.fits,0.2844955325126648,0.0032129995500360014
2,2022-12-12 01:49:06,59925.076,HD15115 J59925.076,HD15115,6.318463,1.7,63.6195,1.815950269585742,1800.0,1.1,"[0.75, 0.75, 0.7, 0.5, 0.5, 0.35, 0.25, 0.25, 0.2, 0.2, 0.2, 0.2, 0.2, 0.15, 0.1]",1564,selfRM_20221011_12_HD15115_001.fits,selfRM_20230311_12_LAB_noSpark_1800_fullgains.fits,0.29684221744537354,0.0028910332116710755
26,2023-03-17 04:28:57,60020.187,HD95086 J60020.187,HD95086,7.076375,1.09,50.0493,1.2784570596147105,1800.0,0.48,"[0.5, 0.5, 0.35, 0.25, 0.2, 0.2, 0.15, 0.15, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",411,selfRM_20230317_0426_HD95086.fits,selfRM_20230315_LAB_spark_1800_020amps_20seps_1Hz.fits,0.30807119607925415,0.0037794725394607715
22,2023-03-16 10:24:36,60019.434,HD143006 J60019.434,HD143006,9.330212,0.45,71.7781,0.4641077113529932,1800.0,1.0,"[0.7, 0.7, 0.6, 0.4, 0.3, 0.25, 0.2, 0.15, 0.15, 0.1, 0.05, 0.05, 0.01, 0.01, 0.01]",1564,selfRM_20230316_HD143006_spark_020amps_20seps.fits,selfRM_20230315_LAB_spark_1800_020amps_20seps_1Hz.fits,0.35557863116264343,0.00471600341969555
0,2022-12-11 02:21:36,59924.098,TYC4685-1113-1 J59924.098,TYC4685-1113-1,8.685988,1.0,63.6195,1.0682060409327894,1800.0,0.95,"[0.75, 0.75, 0.6, 0.45, 0.3, 0.25, 0.25, 0.25, 0.2, 0.2, 0.15, 0.15, 0.15, 0.1, 0.05]",1564,selfRM_20221211_12_TYC4865-1113-1_001.fits,selfRM_20221211_12_LAB_008.fits,0.37275224924087524,0.00490469286135583
1,2022-12-11 02:24:26,59924.1,TYC4685-1113-1 J59924.1,TYC4685-1113-1,8.685988,1.0,63.6195,1.0682060409327894,1800.0,0.95,"[0.75, 0.75, 0.6, 0.45, 0.3, 0.25, 0.25, 0.25, 0.2, 0.2, 0.15, 0.15, 0.15, 0.1, 0.05]",1564,selfRM_20221211_12_TYC4865-1113-1_002.fits,selfRM_20221211_12_LAB_008.fits,0.37463510036468506,0.005331409834182806
3,2022-12-13 03:32:20,59926.147,HD15115 J59926.147,HD15115,6.318463,1.4,63.6195,1.495488457305905,1800.0,1.0,"[0.75, 0.75, 0.7, 0.5, 0.5, 0.5, 0.35, 0.35, 0.35, 0.25, 0.15, 0.1, 0.1, 0.1, 0.1]",1564,selfRM_20221212_13_HD15115_001.fits,selfRM_20230315_LAB_spark_1800_020amps_20seps_1Hz.fits,0.3966062664985657,0.002798650541073231
29,2023-03-17 04:50:16,60020.202,HD95086 J60020.202,HD95086,7.076375,0.88,49.6297,1.0359832255855153,1800.0,0.34,"[0.5, 0.5, 0.35, 0.25, 0.2, 0.2, 0.15, 0.15, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",411,selfRM_20230317_0447_HD95086.fits,selfRM_20230315_LAB_spark_1800_020amps_20seps_1Hz.fits,0.40217137336730957,0.003229342113255471
12,2023-03-12 03:01:06,60015.126,TWA7 J60015.126,TWA7,9.394358,0.67,74.8995,0.6842762018253823,1200.0,1.0,"[0.75, 0.7, 0.6, 0.5, 0.45, 0.35, 0.35, 0.3, 0.25, 0.2, 0.15, 0.1, 0.1, 0.0, 0.0]",1013,selfRM_20230311_12_TWA7_sparkles_sep15_amp02.fits,selfRM_20230311_12_LAB_spark_1200_020amps_20seps.fits,0.4184645414352417,0.007786106595452416
