column0,selfRM,type,UT,MOD,TRIG,HZ,SEPS,ANGS,AMPS,ts,fps,emGain,exptime,ts:1,atime,wtime,wmatime,ts:2,dimm_fwhm,ts:3,ra,dc,el,ha,rotoff,ts:4,state,loopgain,multcoef,ts:5,gains,mcs,camwfs_time_ts,camwfs_time_ts:1,tcsi_telsee_ts,tcsi_telpos_ts,holoop_ts,hogain_ts
32,selfRM_20221211_12_TYC4865-1113-1_001.fits,SKY,2022-12-11 02:21:36,true,true,,20.0,0.0,0.015,2022-12-11 02:21:34.597551,1800.0,600.0,0.0,2022-12-11 02:21:34.082838,0.000555609782,0.000555608059,4.2039332e-05,2022-12-10 06:32:12.094626,1.0,2022-12-10 06:32:13.095502,86.822916666667,-51.075916666667,63.6195,1.291111111111,27.5708,2022-12-11 02:21:26.897864,2,0.95,0.98,2022-12-11 02:21:31.941119,"[0.75, 0.75, 0.6, 0.45, 0.3, 0.25, 0.25, 0.25, 0.2, 0.2, 0.15, 0.15, 0.15, 0.1, 0.05]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",2022-12-11 02:21:34.597551,2022-12-11 02:21:34.082838,2022-12-10 06:32:12.094626,2022-12-10 06:32:13.095502,2022-12-11 02:21:26.897864,2022-12-11 02:21:31.941119
34,selfRM_20221211_12_TYC4865-1113-1_002.fits,SKY,2022-12-11 02:24:26,true,true,,20.0,0.0,0.015,2022-12-11 02:24:23.571544,1800.0,600.0,0.0,2022-12-11 02:24:25.578873,0.000555609782,0.000555608589,4.2051657e-05,2022-12-10 06:32:12.094626,1.0,2022-12-10 06:32:13.095502,86.822916666667,-51.075916666667,63.6195,1.291111111111,27.5708,2022-12-11 02:24:16.929994,2,0.95,0.98,2022-12-11 02:24:20.392554,"[0.75, 0.75, 0.6, 0.45, 0.3, 0.25, 0.25, 0.25, 0.2, 0.2, 0.15, 0.15, 0.15, 0.1, 0.05]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",2022-12-11 02:24:23.571544,2022-12-11 02:24:25.578873,2022-12-10 06:32:12.094626,2022-12-10 06:32:13.095502,2022-12-11 02:24:16.929994,2022-12-11 02:24:20.392554
33,selfRM_20221011_12_HD15115_001.fits,SKY,2022-12-12 01:49:06,false,false,,,,,2022-12-12 01:49:01.881535,1800.0,600.0,0.0,2022-12-12 01:49:03.888806,0.000555610312,0.000555609119,4.2048078e-05,2022-12-10 06:32:12.094626,1.7,2022-12-10 06:32:13.095502,86.822916666667,-51.075916666667,63.6195,1.291111111111,27.5708,2022-12-12 01:49:05.730391,2,1.1,0.98,2022-12-12 01:48:56.969526,"[0.75, 0.75, 0.7, 0.5, 0.5, 0.35, 0.25, 0.25, 0.2, 0.2, 0.2, 0.2, 0.2, 0.15, 0.1]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.95]",2022-12-12 01:49:01.881535,2022-12-12 01:49:03.888806,2022-12-10 06:32:12.094626,2022-12-10 06:32:13.095502,2022-12-12 01:49:05.730391,2022-12-12 01:48:56.969526
65,selfRM_sparkles_20221211_12_001.fits,LAB,2022-12-12 05:42:42,true,false,1800.0,20.0,62.0,0.02,2022-12-12 05:42:40.812542,1800.0,1.0,0.0,2022-12-12 05:42:40.297834,0.000555609782,0.00055560965,4.2097114e-05,2022-12-10 06:32:12.094626,2.2,2022-12-10 06:32:13.095502,86.822916666667,-51.075916666667,63.6195,1.291111111111,27.5708,2022-12-12 05:42:39.060854,2,1.0,0.98,2022-12-12 05:42:34.619474,"[0.65, 0.65, 0.45, 0.35, 0.25, 0.2, 0.2, 0.2, 0.2, 0.15, 0.15, 0.1, 0.1, 0.1, 0.05]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.95]",2022-12-12 05:42:40.812542,2022-12-12 05:42:40.297834,2022-12-10 06:32:12.094626,2022-12-10 06:32:13.095502,2022-12-12 05:42:39.060854,2022-12-12 05:42:34.619474
73,selfRM_20221211_12_LAB_001.fits,LAB,2022-12-12 05:42:42,true,false,1800.0,20.0,62.0,0.02,2022-12-12 05:42:40.812542,1800.0,1.0,0.0,2022-12-12 05:42:40.297834,0.000555609782,0.00055560965,4.2097114e-05,2022-12-10 06:32:12.094626,2.2,2022-12-10 06:32:13.095502,86.822916666667,-51.075916666667,63.6195,1.291111111111,27.5708,2022-12-12 05:42:39.060854,2,1.0,0.98,2022-12-12 05:42:34.619474,"[0.65, 0.65, 0.45, 0.35, 0.25, 0.2, 0.2, 0.2, 0.2, 0.15, 0.15, 0.1, 0.1, 0.1, 0.05]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.95]",2022-12-12 05:42:40.812542,2022-12-12 05:42:40.297834,2022-12-10 06:32:12.094626,2022-12-10 06:32:13.095502,2022-12-12 05:42:39.060854,2022-12-12 05:42:34.619474
66,selfRM_20221211_12_LAB_002.fits,LAB,2022-12-12 05:45:54,false,false,,,,,2022-12-12 05:45:49.962529,1800.0,1.0,0.0,2022-12-12 05:45:51.969812,0.000555610312,0.000555608589,4.2435724e-05,2022-12-10 06:32:12.094626,2.2,2022-12-10 06:32:13.095502,86.822916666667,-51.075916666667,63.6195,1.291111111111,27.5708,2022-12-12 05:45:49.089679,2,1.0,0.98,2022-12-12 05:45:53.191318,"[0.65, 0.65, 0.45, 0.35, 0.25, 0.2, 0.2, 0.2, 0.2, 0.15, 0.15, 0.1, 0.1, 0.1, 0.05]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.95]",2022-12-12 05:45:49.962529,2022-12-12 05:45:51.969812,2022-12-10 06:32:12.094626,2022-12-10 06:32:13.095502,2022-12-12 05:45:49.089679,2022-12-12 05:45:53.191318
67,selfRM_20221211_12_LAB_003.fits,LAB,2022-12-12 05:51:13,true,true,,20.0,62.0,0.02,2022-12-12 05:51:12.781535,1800.0,1.0,0.0,2022-12-12 05:51:12.266871,0.000555610312,0.000555609384,4.2023561e-05,2022-12-10 06:32:12.094626,2.2,2022-12-10 06:32:13.095502,86.822916666667,-51.075916666667,63.6195,1.291111111111,27.5708,2022-12-12 05:51:09.145131,2,1.0,0.98,2022-12-12 05:51:12.119747,"[0.65, 0.65, 0.45, 0.35, 0.25, 0.2, 0.2, 0.2, 0.2, 0.15, 0.15, 0.1, 0.1, 0.1, 0.05]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.95]",2022-12-12 05:51:12.781535,2022-12-12 05:51:12.266871,2022-12-10 06:32:12.094626,2022-12-10 06:32:13.095502,2022-12-12 05:51:09.145131,2022-12-12 05:51:12.119747
68,selfRM_20221211_12_LAB_004.fits,LAB,2022-12-12 06:14:05,true,true,,20.0,0.0,0.03,2022-12-12 06:14:04.264544,600.0,1.0,0.0,2022-12-12 06:14:03.749775,0.001666775928,0.001666770754,4.2582991e-05,2022-12-10 06:32:12.094626,2.2,2022-12-10 06:32:13.095502,86.822916666667,-51.075916666667,63.6195,1.291111111111,27.5708,2022-12-12 06:13:59.359263,2,1.0,0.98,2022-12-12 06:14:00.046951,"[0.65, 0.65, 0.45, 0.35, 0.25, 0.2, 0.2, 0.2, 0.2, 0.15, 0.15, 0.1, 0.1, 0.1, 0.05]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.95]",2022-12-12 06:14:04.264544,2022-12-12 06:14:03.749775,2022-12-10 06:32:12.094626,2022-12-10 06:32:13.095502,2022-12-12 06:13:59.359263,2022-12-12 06:14:00.046951
69,selfRM_20221211_12_LAB_005.fits,LAB,2022-12-12 06:22:35,true,true,,20.0,0.0,0.03,2022-12-12 06:22:33.711541,600.0,1.0,0.0,2022-12-12 06:22:33.196797,0.001666774734,0.001666765181,4.222198e-05,2022-12-10 06:32:12.094626,2.2,2022-12-10 06:32:13.095502,86.822916666667,-51.075916666667,63.6195,1.291111111111,27.5708,2022-12-12 06:22:29.443386,2,1.0,0.98,2022-12-12 06:22:29.530153,"[0.65, 0.65, 0.45, 0.35, 0.25, 0.2, 0.2, 0.2, 0.2, 0.15, 0.15, 0.1, 0.1, 0.1, 0.05]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.95]",2022-12-12 06:22:33.711541,2022-12-12 06:22:33.196797,2022-12-10 06:32:12.094626,2022-12-10 06:32:13.095502,2022-12-12 06:22:29.443386,2022-12-12 06:22:29.530153
70,selfRM_20221211_12_LAB_006.fits,LAB,2022-12-12 06:29:53,false,false,,,,,2022-12-12 06:29:52.546529,600.0,1.0,0.0,2022-12-12 06:29:52.031768,0.001666776326,0.001666771948,4.267613e-05,2022-12-10 06:32:12.094626,2.2,2022-12-10 06:32:13.095502,86.822916666667,-51.075916666667,63.6195,1.291111111111,27.5708,2022-12-12 06:29:49.507961,2,1.0,0.98,2022-12-12 06:29:48.800231,"[0.65, 0.65, 0.45, 0.35, 0.25, 0.2, 0.2, 0.2, 0.2, 0.15, 0.15, 0.1, 0.1, 0.1, 0.05]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.95]",2022-12-12 06:29:52.546529,2022-12-12 06:29:52.031768,2022-12-10 06:32:12.094626,2022-12-10 06:32:13.095502,2022-12-12 06:29:49.507961,2022-12-12 06:29:48.800231
