,MJD,target,mag_I_c,fps,n_modes,dimm_mod,OG,OG_StandErr
2,59925.076,HD15115,6.32,1800.0,1564,1.82,0.2968,0.0029
0,59924.098,TYC4685-1113-1,8.69,1800.0,1564,1.07,0.3728,0.0049
1,59924.1,TYC4685-1113-1,8.69,1800.0,1564,1.07,0.3746,0.0053
3,59926.147,HD15115,6.32,1800.0,1564,1.5,0.3966,0.0028
5,60008.225,piPup,1.21,1800.0,1564,1.02,0.6955,0.0018
4,60008.221,piPup,1.21,1800.0,1564,0.91,0.724,0.0014
6,60010.162,BetaPic,3.65,1800.0,1564,0.95,0.725,0.0022
7,60011.096,BetaPic,3.65,1800.0,1564,0.65,0.8355,0.0023
8,60013.327,HR4796a,5.76,1800.0,1564,0.65,0.8222,0.0019
10,60014.148,HD72946,6.44,1800.0,1564,0.88,0.5663,0.0029
11,60014.15,HD72946,6.44,1800.0,1564,0.75,0.5672,0.0029
9,60014.146,HD72946,6.44,1800.0,1564,0.91,0.5659,0.0033
12,60015.126,TWA7,9.39,1200.0,1013,0.68,0.4185,0.0078
15,60016.177,HD106906,7.3,1800.0,1564,0.6,0.7323,0.0034
13,60016.097,HR2562,5.61,1800.0,1564,0.93,0.717,0.0019
14,60016.101,HR2562,5.61,1800.0,1564,0.94,0.6372,0.0022
16,60016.431,HD144271,6.74,1800.0,1564,0.55,0.6801,0.0027
17,60017.244,HD100546,6.67,1800.0,1564,0.5,0.7472,0.0022
18,60019.04,BetaPic,3.65,1800.0,1564,0.64,0.805,0.0034
19,60019.118,BetaPic,3.65,1800.0,1564,0.52,0.793,0.0035
20,60019.131,BetaPic,3.65,1800.0,1564,0.52,0.8152,0.0032
22,60019.434,HD143006,9.33,1800.0,1564,0.46,0.3556,0.0047
21,60019.293,HD95086,7.08,1800.0,1564,1.08,0.508,0.0034
24,60020.162,HD95086,7.08,1800.0,1564,1.05,0.5893,0.0024
25,60020.177,HD95086,7.08,1800.0,1564,1.39,0.4758,0.0027
26,60020.187,HD95086,7.08,1800.0,411,1.28,0.3081,0.0038
27,60020.191,HD95086,7.08,1800.0,411,1.47,0.2826,0.0033
28,60020.196,HD95086,7.08,1800.0,411,1.67,0.2845,0.0032
29,60020.202,HD95086,7.08,1800.0,411,1.04,0.4022,0.0032
30,60020.208,HD95086,7.08,1800.0,411,0.84,0.445,0.003
31,60020.308,HD95086,7.08,1800.0,1564,0.94,0.652,0.0025
23,60020.132,BetaPic,3.65,1800.0,1564,1.3,0.4774,0.002
