column0,selfRM,type,UT,MOD,TRIG,HZ,SEPS,ANGS,AMPS,ts,fps,emGain,exptime,column0:1,selfRM:1,type:1,UT:1,MOD:1,TRIG:1,HZ:1,ts:1,emGain:1,exptime:1
1,selfRM_20230304_05_piPup_sparkles_triggered.fits,SKY,2023-03-05 05:18:55,true,true,,20.0,0.0,0.05,2023-03-05 05:18:53.932607,1800.0,15.0,0.0,59,selfRM_20230315_LAB_spark_1800_050amps_20seps_1Hz.fits,LAB,2023-03-15 22:55:35,true,true,,2023-03-15 22:55:31.888608,10.0,0.0
0,selfRM_20230304_05_piPup_sparkles_nottriggered.fits,SKY,2023-03-05 05:24:16,true,false,1799.821533,20.0,0.0,0.05,2023-03-05 05:24:14.230601,1800.0,15.0,0.0,59,selfRM_20230315_LAB_spark_1800_050amps_20seps_1Hz.fits,LAB,2023-03-15 22:55:35,true,true,,2023-03-15 22:55:31.888608,10.0,0.0
2,selfRM_20230305_06_betaPic_sparkles_triggered.fits,SKY,2023-03-07 03:53:54,true,true,,20.0,0.0,0.02,2023-03-07 03:53:51.490602,1800.0,100.0,0.0,57,selfRM_20230315_LAB_spark_1800_020amps_20seps_1Hz.fits,LAB,2023-03-15 22:52:25,true,true,,2023-03-15 22:52:22.737601,10.0,0.0
3,selfRM_20230307_08_betaPic_sparkles_trigger_sep20_amp02.fits,SKY,2023-03-08 02:17:37,true,true,,20.0,0.0,0.02,2023-03-08 02:17:36.9076,1800.0,60.0,0.0,57,selfRM_20230315_LAB_spark_1800_020amps_20seps_1Hz.fits,LAB,2023-03-15 22:52:25,true,true,,2023-03-15 22:52:22.737601,10.0,0.0
5,selfRM_20230309_10_HR4796a_sparkles.fits,SKY,2023-03-10 07:51:17,true,true,,15.0,0.0,0.02,2023-03-10 07:51:14.850602,1800.0,600.0,0.0,56,selfRM_20230315_LAB_spark_1800_020amps_15seps.fits,LAB,2023-03-15 22:15:16,true,true,,2023-03-15 22:15:15.793598,10.0,0.0
9,selfRM_20230310_11_trig_sparkles_HD72946b_15ld_05.fits,SKY,2023-03-11 03:29:54,true,true,,15.0,0.0,0.05,2023-03-11 03:29:46.700616,1800.0,600.0,0.0,58,selfRM_20230315_LAB_spark_1800_050amps_15seps.fits,LAB,2023-03-15 22:12:21,true,true,,2023-03-15 22:12:19.252603,10.0,0.0
13,selfRM_20230312_13_HR2562_sep15_amp_02.fits,SKY,2023-03-13 02:20:16,true,true,,15.0,0.0,0.02,2023-03-13 02:20:06.214593,1800.0,600.0,0.0,56,selfRM_20230315_LAB_spark_1800_020amps_15seps.fits,LAB,2023-03-15 22:15:16,true,true,,2023-03-15 22:15:15.793598,10.0,0.0
12,selfRM_20230312_13_HR2562_sep15_amp_02_05gains.fits,SKY,2023-03-13 02:25:26,true,true,,15.0,0.0,0.02,2023-03-13 02:25:23.99861,1800.0,600.0,0.0,56,selfRM_20230315_LAB_spark_1800_020amps_15seps.fits,LAB,2023-03-15 22:15:16,true,true,,2023-03-15 22:15:15.793598,10.0,0.0
11,selfRM_20230312_13_HD106906_sep15_amp_02.fits,SKY,2023-03-13 04:15:33,true,true,,15.0,0.0,0.02,2023-03-13 04:15:31.888652,1800.0,600.0,0.0,56,selfRM_20230315_LAB_spark_1800_020amps_15seps.fits,LAB,2023-03-15 22:15:16,true,true,,2023-03-15 22:15:15.793598,10.0,0.0
14,selfRM_20230312_13_PSF-HD144271_sep13_amp02.fits,SKY,2023-03-13 10:20:47,true,true,,15.0,0.0,0.02,2023-03-13 10:20:45.508617,1800.0,600.0,0.0,56,selfRM_20230315_LAB_spark_1800_020amps_15seps.fits,LAB,2023-03-15 22:15:16,true,true,,2023-03-15 22:15:15.793598,10.0,0.0
